type,values,model,period,lambda
max_shortfall,-0.07916133410741262,cap,all,0.91
costs,0.06978532888434805,cap,all,0.91
peak_to_through,4.542819222650109,cap,all,0.91
max_1d,1.38495959129397,cap,all,0.91
max_5d,2.013242051126247,cap,all,0.91
max_30d,3.5289916681712374,cap,all,0.91
n_breaches,21,buffer,all,0.91
N_observations,3610,buffer,all,0.91
perc_breaches,0.005817174515235457,buffer,all,0.91
conf_level,0.9941828254847646,buffer,all,0.91
avg_shortfall,-0.019582849358455574,buffer,all,0.91
max_shortfall,-0.05438959221679093,buffer,all,0.91
costs,0.08784852588279045,buffer,all,0.91
peak_to_through,5.320634811535838,buffer,all,0.91
max_1d,1.38495959129397,buffer,all,0.91
max_5d,2.013242051126247,buffer,all,0.91
max_30d,4.0250259251097695,buffer,all,0.91
n_breaches,21,cap_floor,all,0.91
N_observations,3610,cap_floor,all,0.91
perc_breaches,0.005817174515235457,cap_floor,all,0.91
conf_level,0.9941828254847646,cap_floor,all,0.91
avg_shortfall,-0.026404778850319794,cap_floor,all,0.91
max_shortfall,-0.07916133410741262,cap_floor,all,0.91
costs,0.08108862565918248,cap_floor,all,0.91
peak_to_through,1.9525292017378366,cap_floor,all,0.91
max_1d,1.248199869007978,cap_floor,all,0.91
max_5d,1.5568511826423144,cap_floor,all,0.91
max_30d,1.9525292017378366,cap_floor,all,0.91
n_breaches,21,speed_floor,all,0.91
N_observations,3610,speed_floor,all,0.91
perc_breaches,0.005817174515235457,speed_floor,all,0.91
conf_level,0.9941828254847646,speed_floor,all,0.91
avg_shortfall,-0.026404778850319794,speed_floor,all,0.91
max_shortfall,-0.07916133410741262,speed_floor,all,0.91
costs,0.08230480085783984,speed_floor,all,0.91
peak_to_through,2.7713404152802115,speed_floor,all,0.91
max_1d,1.248199869007978,speed_floor,all,0.91
max_5d,1.6779814896753051,speed_floor,all,0.91
max_30d,2.130797332794474,speed_floor,all,0.91
n_breaches,13,baseline,2020,0.91
N_observations,254,baseline,2020,0.91
perc_breaches,0.051181102362204724,baseline,2020,0.91
conf_level,0.9488188976377953,baseline,2020,0.91
avg_shortfall,-0.028642812645438456,baseline,2020,0.91
max_shortfall,-0.050354516155797405,baseline,2020,0.91
costs,0.10531313067452103,baseline,2020,0.91
peak_to_through,5.340152892524963,baseline,2020,0.91
max_1d,1.248199869007978,baseline,2020,0.91
max_5d,1.8586670372597014,baseline,2020,0.91
max_30d,5.031282406387213,baseline,2020,0.91
n_breaches,13,speed,2020,0.91
N_observations,254,speed,2020,0.91
perc_breaches,0.051181102362204724,speed,2020,0.91
conf_level,0.9488188976377953,speed,2020,0.91
avg_shortfall,-0.031846765076314475,speed,2020,0.91
max_shortfall,-0.07640511910014393,speed,2020,0.91
costs,0.10048478736785445,speed,2020,0.91
peak_to_through,5.104291371947848,speed,2020,0.91
max_1d,1.1907989225834783,speed,2020,0.91
max_5d,1.745859568981786,speed,2020,0.91
max_30d,2.298853457641065,speed,2020,0.91
n_breaches,8,floor,2020,0.91
N_observations,254,floor,2020,0.91
perc_breaches,0.031496062992125984,floor,2020,0.91
conf_level,0.9685039370078741,floor,2020,0.91
avg_shortfall,-0.03130776100733942,floor,2020,0.91
max_shortfall,-0.050354516155797405,floor,2020,0.91
costs,0.11056891963098885,floor,2020,0.91
peak_to_through,2.8585483848634867,floor,2020,0.91
max_1d,1.248199869007978,floor,2020,0.91
max_5d,1.8586670372597014,floor,2020,0.91
max_30d,2.846535484425762,floor,2020,0.91
n_breaches,13,cap,2020,0.91
N_observations,254,cap,2020,0.91
perc_breaches,0.051181102362204724,cap,2020,0.91
conf_level,0.9488188976377953,cap,2020,0.91
avg_shortfall,-0.028642812645438456,cap,2020,0.91
max_shortfall,-0.050354516155797405,cap,2020,0.91
costs,0.09763329274908948,cap,2020,0.91
peak_to_through,3.6475871878228534,cap,2020,0.91
max_1d,1.248199869007978,cap,2020,0.91
max_5d,1.7458595689817857,cap,2020,0.91
max_30d,3.5289916681712374,cap,2020,0.91
n_breaches,10,buffer,2020,0.91
N_observations,254,buffer,2020,0.91
perc_breaches,0.03937007874015748,buffer,2020,0.91
conf_level,0.9606299212598425,buffer,2020,0.91
avg_shortfall,-0.01710405009685302,buffer,2020,0.91
max_shortfall,-0.02802793251590044,buffer,2020,0.91
costs,0.1258390983554267,buffer,2020,0.91
peak_to_through,4.2721223140199704,buffer,2020,0.91
max_1d,1.248199869007978,buffer,2020,0.91
max_5d,1.7458595689817857,buffer,2020,0.91
max_30d,4.0250259251097695,buffer,2020,0.91
n_breaches,8,cap_floor,2020,0.91
N_observations,254,cap_floor,2020,0.91
perc_breaches,0.031496062992125984,cap_floor,2020,0.91
conf_level,0.9685039370078741,cap_floor,2020,0.91
avg_shortfall,-0.03130776100733942,cap_floor,2020,0.91
max_shortfall,-0.050354516155797405,cap_floor,2020,0.91
costs,0.1028890817055573,cap_floor,2020,0.91
peak_to_through,1.9525292017378366,cap_floor,2020,0.91
max_1d,1.248199869007978,cap_floor,2020,0.91
max_5d,1.5568511826423144,cap_floor,2020,0.91
max_30d,1.9525292017378366,cap_floor,2020,0.91
n_breaches,8,speed_floor,2020,0.91
N_observations,254,speed_floor,2020,0.91
perc_breaches,0.031496062992125984,speed_floor,2020,0.91
conf_level,0.9685039370078741,speed_floor,2020,0.91
avg_shortfall,-0.03130776100733942,speed_floor,2020,0.91
max_shortfall,-0.050354516155797405,speed_floor,2020,0.91
costs,0.10848158183049421,speed_floor,2020,0.91
peak_to_through,2.7322932790141916,speed_floor,2020,0.91
max_1d,1.248199869007978,speed_floor,2020,0.91
max_5d,1.6779814896753051,speed_floor,2020,0.91
max_30d,2.130797332794474,speed_floor,2020,0.91
kpf,1,baseline,all,0.91
kpf,1,floor,all,0.91
kpf,1,cap,all,0.91
kpf,1,speed,all,0.91
kpf,1,buffer,all,0.91
kpf,1,speed_floor,all,0.91
kpf,1,cap_floor,all,0.91
n_breaches,40,baseline,all,0.915
N_observations,3610,baseline,all,0.915
perc_breaches,0.0110803324099723,baseline,all,0.915
conf_level,0.9889196675900277,baseline,all,0.915
avg_shortfall,-0.021396080177084942,baseline,all,0.915
max_shortfall,-0.07904103456750335,baseline,all,0.915
costs,0.07176429987964074,baseline,all,0.915
peak_to_through,6.53957618591816,baseline,all,0.915
max_1d,1.3725307140269225,baseline,all,0.915
max_5d,1.9791404951209273,baseline,all,0.915
max_30d,4.965187990836226,baseline,all,0.915
n_breaches,40,speed,all,0.915
N_observations,3610,speed,all,0.915
perc_breaches,0.0110803324099723,speed,all,0.915
conf_level,0.9889196675900277,speed,all,0.915
avg_shortfall,-0.02247391818677061,speed,all,0.915
max_shortfall,-0.07904103456750335,speed,all,0.915
costs,0.07161320514152131,speed,all,0.915
peak_to_through,6.308705352175645,speed,all,0.915
max_1d,1.3725307140269225,speed,all,0.915
max_5d,1.8771476906160725,speed,all,0.915
max_30d,2.278902964282215,speed,all,0.915
n_breaches,21,floor,all,0.915
N_observations,3610,floor,all,0.915
perc_breaches,0.005817174515235457,floor,all,0.915
conf_level,0.9941828254847646,floor,all,0.915
avg_shortfall,-0.0264112285905002,floor,all,0.915
max_shortfall,-0.07904103456750335,floor,all,0.915
costs,0.08271853212171351,floor,all,0.915
peak_to_through,2.852958095998208,floor,all,0.915
max_1d,1.2498292157440987,floor,all,0.915
max_5d,1.856040199691431,floor,all,0.915
max_30d,2.8379222248310385,floor,all,0.915
n_breaches,40,cap,all,0.915
N_observations,3610,cap,all,0.915
perc_breaches,0.0110803324099723,cap,all,0.915
conf_level,0.9889196675900277,cap,all,0.915
avg_shortfall,-0.021396080177084942,cap,all,0.915
max_shortfall,-0.07904103456750335,cap,all,0.915
costs,0.07050664715938239,cap,all,0.915
peak_to_through,4.5396128137109955,cap,all,0.915
max_1d,1.3725307140269225,cap,all,0.915
max_5d,1.9791404951209273,cap,all,0.915
max_30d,3.55648545602978,cap,all,0.915
n_breaches,21,buffer,all,0.915
N_observations,3610,buffer,all,0.915
perc_breaches,0.005817174515235457,buffer,all,0.915
conf_level,0.9941828254847646,buffer,all,0.915
avg_shortfall,-0.01950467054743702,buffer,all,0.915
max_shortfall,-0.05423921779190434,buffer,all,0.915
costs,0.08865407987733884,buffer,all,0.915
peak_to_through,5.231660948734528,buffer,all,0.915
max_1d,1.3725307140269227,buffer,all,0.915
max_5d,1.9791404951209273,buffer,all,0.915
max_30d,3.9721503926689805,buffer,all,0.915
n_breaches,21,cap_floor,all,0.915
N_observations,3610,cap_floor,all,0.915
perc_breaches,0.005817174515235457,cap_floor,all,0.915
conf_level,0.9941828254847646,cap_floor,all,0.915
avg_shortfall,-0.0264112285905002,cap_floor,all,0.915
max_shortfall,-0.07904103456750335,cap_floor,all,0.915
costs,0.08146053121410182,cap_floor,all,0.915
peak_to_through,1.9804532834195607,cap_floor,all,0.915
max_1d,1.2498292157440987,cap_floor,all,0.915
max_5d,1.576114761781359,cap_floor,all,0.915
max_30d,1.9804532834195607,cap_floor,all,0.915
n_breaches,21,speed_floor,all,0.915
N_observations,3610,speed_floor,all,0.915
perc_breaches,0.005817174515235457,speed_floor,all,0.915
conf_level,0.9941828254847646,speed_floor,all,0.915
avg_shortfall,-0.0264112285905002,speed_floor,all,0.915
max_shortfall,-0.07904103456750335,speed_floor,all,0.915
costs,0.08262235783366946,speed_floor,all,0.915
peak_to_through,2.7522382946640045,speed_floor,all,0.915
max_1d,1.2498292157440987,speed_floor,all,0.915
max_5d,1.667389683954567,speed_floor,all,0.915
max_30d,2.105306608123385,speed_floor,all,0.915
n_breaches,13,baseline,2020,0.915
N_observations,254,baseline,2020,0.915
perc_breaches,0.051181102362204724,baseline,2020,0.915
conf_level,0.9488188976377953,baseline,2020,0.915
avg_shortfall,-0.028566220195007277,baseline,2020,0.915
max_shortfall,-0.050853857748240736,baseline,2020,0.915
costs,0.10719796259711624,baseline,2020,0.915
peak_to_through,5.282599672934958,baseline,2020,0.915
max_1d,1.2498292157440987,baseline,2020,0.915
max_5d,1.856040199691431,baseline,2020,0.915
max_30d,4.965187990836226,baseline,2020,0.915
n_breaches,13,speed,2020,0.915
N_observations,254,speed,2020,0.915
perc_breaches,0.051181102362204724,speed,2020,0.915
conf_level,0.9488188976377953,speed,2020,0.915
avg_shortfall,-0.031882644840193944,speed,2020,0.915
max_shortfall,-0.07756299882828024,speed,2020,0.915
costs,0.10229612477342212,speed,2020,0.915
peak_to_through,5.064785583465859,speed,2020,0.915
max_1d,1.184025893279148,speed,2020,0.915
max_5d,1.726968895223518,speed,2020,0.915
max_30d,2.278902964282215,speed,2020,0.915
n_breaches,8,floor,2020,0.915
N_observations,254,floor,2020,0.915
perc_breaches,0.031496062992125984,floor,2020,0.915
conf_level,0.9685039370078741,floor,2020,0.915
avg_shortfall,-0.031666708837894714,floor,2020,0.915
