DATE,NAV
2003-02-11,22.290628
2003-02-10,21.766414
2003-02-07,22.094635
2003-02-06,22.058532
2003-02-05,22.459918
2003-02-04,22.523416
2003-02-03,23.078701
2003-01-31,22.686057
2003-01-30,22.738133
2003-01-29,21.928926
2003-01-28,22.066587
2003-01-27,22.542093
2003-01-24,23.097383
2003-01-23,23.365035
2003-01-22,23.214042
2003-01-21,23.89411
2003-01-20,24.204238
2003-01-17,24.560079000000002
2003-01-16,25.28508
2003-01-15,25.419093
2003-01-14,25.471836
2003-01-13,25.565593
2003-01-10,25.251904
2003-01-09,24.948158
2003-01-08,25.031692
2003-01-07,25.602075
2003-01-06,25.421808
2003-01-03,25.512129
2003-01-02,24.798168
2002-12-30,24.192061
2002-12-27,24.455636
2002-12-23,24.824979
2002-12-20,24.613351
2002-12-19,24.559168
2002-12-18,25.009414
2002-12-17,25.624473
2002-12-16,25.218925
2002-12-13,24.71251
2002-12-12,25.155352
2002-12-11,25.308757
2002-12-10,24.936458
2002-12-09,25.505365
2002-12-06,25.419463
2002-12-05,26.0886
2002-12-04,26.131815
2002-12-03,26.513466
2002-12-02,27.677771
2002-11-29,27.088459
2002-11-28,27.085628
2002-11-27,26.424622
2002-11-26,26.517665
2002-11-25,26.803452
2002-11-22,26.845041
2002-11-21,26.594846
2002-11-20,25.522823
2002-11-19,25.701603
2002-11-18,26.103176
2002-11-15,25.805788
2002-11-14,25.472355
2002-11-13,24.521853
2002-11-12,24.661485
2002-11-11,24.620316
2002-11-08,25.265914
2002-11-07,25.49173
2002-11-06,26.086717
2002-11-05,26.168179
2002-11-04,26.052199
2002-11-01,24.963301
2002-10-31,25.377143
2002-10-30,24.516455
2002-10-29,25.113722
2002-10-28,25.615067
2002-10-25,24.960811
2002-10-24,25.166848
2002-10-23,24.898432
2002-10-22,25.563296
2002-10-21,25.532557
2002-10-18,25.143393
2002-10-17,25.669917
2002-10-16,25.149532
2002-10-15,24.862727
2002-10-14,23.714477
2002-10-11,23.792088
2002-10-10,21.626325
2002-10-09,21.669802
2002-10-08,22.447094
2002-10-07,22.454948
