type,values,model,period,lambda
costs,0.1011651701935443,cap,2020,0.905
peak_to_through,1.9250243600644974,cap,2020,0.905
max_1d,1.2462631677936669,cap,2020,0.905
max_5d,1.5581837305196709,cap,2020,0.905
max_30d,1.9250243600644974,cap,2020,0.905
n_breaches,10,buffer,2020,0.905
N_observations,254,buffer,2020,0.905
perc_breaches,0.03937007874015748,buffer,2020,0.905
conf_level,0.9606299212598425,buffer,2020,0.905
avg_shortfall,-0.01694192505801242,buffer,2020,0.905
max_shortfall,-0.027437841376336036,buffer,2020,0.905
costs,0.12448057897200278,buffer,2020,0.905
peak_to_through,4.324898970983034,buffer,2020,0.905
max_1d,1.2462631677936669,buffer,2020,0.905
max_5d,1.7628744466160797,buffer,2020,0.905
max_30d,4.074275963687946,buffer,2020,0.905
kpf,1,baseline,all,0.905
kpf,1,floor,all,0.905
kpf,1,cap,all,0.905
kpf,1,speed,all,0.905
kpf,1,buffer,all,0.905
n_breaches,41,baseline,all,0.91
N_observations,3610,baseline,all,0.91
perc_breaches,0.011357340720221607,baseline,all,0.91
conf_level,0.9886426592797783,baseline,all,0.91
avg_shortfall,-0.021177031756774996,baseline,all,0.91
max_shortfall,-0.07916133410741262,baseline,all,0.91
costs,0.0710933477101239,baseline,all,0.91
peak_to_through,6.650793514419798,baseline,all,0.91
max_1d,1.38495959129397,baseline,all,0.91
max_5d,2.013242051126247,baseline,all,0.91
max_30d,5.031282406387213,baseline,all,0.91
n_breaches,41,speed,all,0.91
N_observations,3610,speed,all,0.91
perc_breaches,0.011357340720221607,speed,all,0.91
conf_level,0.9886426592797783,speed,all,0.91
avg_shortfall,-0.024063016021846483,speed,all,0.91
max_shortfall,-0.09002445561049675,speed,all,0.91
costs,0.07026095794933589,speed,all,0.91
peak_to_through,6.447892558962343,speed,all,0.91
max_1d,1.38495959129397,speed,all,0.91
max_5d,1.718556227547084,speed,all,0.91
max_30d,1.8000000000000003,speed,all,0.91
n_breaches,21,floor,all,0.91
