BUCKET,DATE,LOG_RET,PRICE,LOG_RET_MPOR,RET_MPOR,EWMA_VOL,EWMA_MEAN,deval,MARGIN_LONG,MARGIN_SHORT,BREACH,COLOR,SIZE
1,2006-12-27,0.0150199999211578,4159,0.00289010026236465,0.002894280628383372,0.012809768678435852,0.0023807624650885946,0.03910349777860331,0.0407137593654871,0.034136205114710286,FALSE,black,0.5
2,2006-12-22,-0.0106819999577373,4097,-0.00850629983375975,-0.008470223629468143,0.013929278890705882,0.0017965209339145943,-0.7635216056846273,0.040971869245191486,0.034358416948070715,FALSE,black,0.5
3,2006-12-21,-0.00144789970105585,4141,-0.00361580028542764,-0.003609271151294502,0.012853972392750832,0.002274877754273026,-0.4713970396888768,0.041147435619422135,0.034503793511022764,FALSE,black,0.5
1,2006-12-20,0.0036235998250334,4147,-0.00481120102687976,-0.004799645738252312,0.013069593568294798,0.0023790334392995863,-0.5667776740568186,0.04141458633549685,0.034740471600045654,FALSE,black,0.5
2,2006-12-19,-0.00579150040940519,4132,-0.0043468011207264895,-0.004337367454441798,0.014104189183620601,0.002262553338598004,-0.48320251825310123,0.0416865435834347,0.03497484204258196,FALSE,black,0.5
3,2006-12-18,-0.00264330044250797,4156,0.007042899086107321,0.007067758626685627,0.013111352160392723,0.002564852309299849,0.3486224295161356,0.042019436595369004,0.03525604650117928,FALSE,black,0.5
1,2006-12-15,0.00408799973118667,4138,0.018019599100207652,0.018182931663547786,0.013343322670567058,0.002751496360533853,1.220279462498135,0.042237557195490466,0.03545079435811284,FALSE,black,0.5
2,2006-12-14,0.00559819979742862,4120,0.01565599973573966,0.01577919698529362,0.01443471823637326,0.002628091081363034,0.9487321093785862,0.041961901428370314,0.03521250651668806,FALSE,black,0.5
3,2006-12-13,0.00833339957159236,4097,0.01897320038620364,0.019154335308831483,0.013320301258339173,0.0023991432995382807,1.3339834074275967,0.0418814591577554,0.03513695699159793,FALSE,black,0.5
1,2006-12-12,0.00172440036671868,4063,0.010391070883886562,0.010445245542585191,0.013075969101028366,0.002063262553962535,0.6633737254751431,0.041556816156792104,0.034863175748363784,FALSE,black,0.5
