Date,Valid_From,Valid_To,Conf_Level,Anchor ,Liq_Group
25/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
26/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
27/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
28/02/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
01/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
02/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
03/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
04/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
05/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
06/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
07/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
08/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
09/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
10/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
11/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
12/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
13/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
14/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
15/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
16/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
17/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
18/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
19/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
20/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
21/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
22/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
23/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
24/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
25/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
26/03/2009,29/11/2021,31/12/9999,91.9,1,PEQ01
