FACT_DATE,COLLATERAL_TYPE,SECURITY_TYPE,MARKET_VALUE_EUR,COLLATERAL_VALUE_EUR
23/08/2019,B,SOVEREIGN GOVERNMENT BONDS,22284496628,19433002127
23/08/2019,B,STATE AGENCIES,1717491147,1597895208
23/08/2019,B,STATE/MUNICIPAL BONDS,2294685383,2166947530
23/08/2019,B,null,1711471197,1657724015
23/08/2019,C,null,22153710455,21804424444
23/08/2019,S,STOCKS,754818441,565294023
26/08/2019,B,BANK BONDS,8445822595,7322574041
26/08/2019,B,CORPORATE BONDS,1727105329,1442435880
26/08/2019,B,SOVEREIGN GOVERNMENT BONDS,22640452822,19739532565
26/08/2019,B,STATE AGENCIES,1646175629,1522555545
26/08/2019,B,STATE/MUNICIPAL BONDS,2285659922,2158855567
26/08/2019,B,null,1831130097,1763412899
26/08/2019,C,null,21848962129,21499833383
26/08/2019,S,STOCKS,744967346,558035272
27/08/2019,B,BANK BONDS,8605028122,7462574596
27/08/2019,B,CORPORATE BONDS,1734776445,1452690272
27/08/2019,B,SOVEREIGN GOVERNMENT BONDS,22666323986,19745693900
27/08/2019,B,STATE AGENCIES,1623393856,1504131112
27/08/2019,B,STATE/MUNICIPAL BONDS,2192914694,2068742623
27/08/2019,B,null,1918322477,1813796217
27/08/2019,C,null,21963418507,21613613872
27/08/2019,S,STOCKS,740156855,553697302
28/08/2019,B,BANK BONDS,8718522293,7555277713
28/08/2019,B,CORPORATE BONDS,1729893172,1440476137
28/08/2019,B,SOVEREIGN GOVERNMENT BONDS,22635767667,19722378862
28/08/2019,B,STATE AGENCIES,1534848296,1421988598
28/08/2019,B,STATE/MUNICIPAL BONDS,2212162563,2081426691
28/08/2019,B,null,1990068519,1881039659
28/08/2019,C,null,22207852877,21855164662
28/08/2019,S,STOCKS,676128592,504763724
29/08/2019,B,BANK BONDS,8588391960,7443519473
29/08/2019,B,CORPORATE BONDS,1841397838,1538133920
29/08/2019,B,SOVEREIGN GOVERNMENT BONDS,22678836309,19725934299
29/08/2019,B,STATE AGENCIES,1516509776,1407571037
29/08/2019,B,STATE/MUNICIPAL BONDS,2205319286,2075174962
29/08/2019,B,null,1813019181,1755192092
29/08/2019,C,null,22681288675,22323760121
29/08/2019,S,STOCKS,694818408,518723380
30/08/2019,B,BANK BONDS,8821839233,7648247452
30/08/2019,B,CORPORATE BONDS,1933849137,1608993834
