FACT_DATE,REQUIREMENT_CURRENT,REQUIREMENT_EOP
22/03/2017,3280487800,2877556533
23/03/2017,3287658325,2877556533
24/03/2017,3297666596,2877556533
27/03/2017,3306236281,2877556533
28/03/2017,3316007032,2877556533
29/03/2017,3328125793,2877556533
30/03/2017,3337321614,2877556533
31/03/2017,3349310595,2877556533
03/04/2017,3359760739,3349310595
04/04/2017,3370453656,3349310595
05/04/2017,3383513183,3349310595
06/04/2017,3391885535,3349310595
07/04/2017,3406025871,3349310595
10/04/2017,3419014626,3349310595
11/04/2017,3430739489,3349310595
12/04/2017,3443890525,3350310595
13/04/2017,3450893664,3350310595
18/04/2017,3458686121,3350310595
19/04/2017,3467455526,3350310595
20/04/2017,3476664114,3350310595
21/04/2017,3484793434,3350310595
24/04/2017,3496774133,3350310595
25/04/2017,3509052216,3350310595
26/04/2017,3524005671,3350310595
27/04/2017,3535177968,3350310595
28/04/2017,3546302397,3350310595
02/05/2017,3556123112,3546302397
03/05/2017,3565215343,3546302397
04/05/2017,3573256305,3546302397
05/05/2017,3587792140,3546302397
08/05/2017,3601440699,3546302397
09/05/2017,3611845149,3546302397
10/05/2017,3623074168,3546302397
11/05/2017,3630330665,3546302397
12/05/2017,3638359470,3546302397
15/05/2017,3645799702,3546302397
16/05/2017,3650663899,3546302397
17/05/2017,3652585181,3546302397
18/05/2017,3654455265,3546302397
19/05/2017,3657318466,3546302397
22/05/2017,3660191490,3546302397
23/05/2017,3662533885,3546302397
24/05/2017,3665467665,3546302397
25/05/2017,3664832519,3546302397
26/05/2017,3665577848,3546302397
29/05/2017,3664066085,3546302397
30/05/2017,3662703329,3546302397
31/05/2017,3663755523,3546302397
01/06/2017,3659219429,3662755523
02/06/2017,3656528080,3662755523
05/06/2017,3649169769,3661755523
06/06/2017,3634654979,3661755523
07/06/2017,3624687928,3661755523
08/06/2017,3613173654,3661755523
09/06/2017,3603901176,3661755523
12/06/2017,3591169888,3661755523
13/06/2017,3577294472,3661755523
14/06/2017,3563502506,3661755523
15/06/2017,3541144493,3661755523
16/06/2017,3521820583,3661755523
19/06/2017,3504086501,3661755523
20/06/2017,3482204297,3661755523
21/06/2017,3460798500,3661755523
22/06/2017,3440873108,3661855523
23/06/2017,3418509937,3661855523
26/06/2017,3396964666,3661855523
27/06/2017,3374361384,3661855523
28/06/2017,3355059405,3661855523
29/06/2017,3334821183,3661855523
30/06/2017,3314598036,3661855523
03/07/2017,3296705999,3314598036
04/07/2017,3282006915,3314598036
05/07/2017,3261167026,3307585579
06/07/2017,3246752326,3307585579
07/07/2017,3233469970,3307585579
10/07/2017,3221351820,3307585579
11/07/2017,3209280370,3307585579
12/07/2017,3199879023,3307585579
13/07/2017,3189765989,3307585579
14/07/2017,3181745581,3307585579
17/07/2017,3169504044,3302585579
18/07/2017,3162987366,3302585579
19/07/2017,3156164641,3302585579
20/07/2017,3146963886,3302585579
21/07/2017,3136285825,3302585579
24/07/2017,3128717758,3302585579
25/07/2017,3121131342,3302585579
26/07/2017,3114185208,3302585579
27/07/2017,3107448899,3302585579
28/07/2017,3100214535,3302585579
31/07/2017,3092052019,3302585579
01/08/2017,3090156241,3092052019
02/08/2017,3089913671,3092052019
03/08/2017,3086256500,3092052019
04/08/2017,3086485637,3092052019
07/08/2017,3085828000,3092052019
08/08/2017,3085826145,3092052019
09/08/2017,3085002888,3092052019
10/08/2017,3082398122,3092052019
11/08/2017,3080562403,3092052019
14/08/2017,3079171022,3092052019
15/08/2017,3076391031,3092052019
16/08/2017,3075136063,3092052019
