FACT_DATE,PRODUCT_GROUP,IM_EUR,MEMBER_TYPE
19/08/2019,EQUITY DERIVATIVES,6361384511,HOUSE
19/08/2019,FIXED INCOME DERIVATIVES,8189518115,CLIENT
19/08/2019,FIXED INCOME DERIVATIVES,620223346,HOUSE
19/08/2019,FIXED INCOME DERIVATIVES ETF,12994257,CLIENT
19/08/2019,FIXED INCOME DERIVATIVES ETF,1168681,HOUSE
19/08/2019,FX DERIVATIVES,1151484,CLIENT
19/08/2019,GC POOLING,440084796,CLIENT
19/08/2019,GC POOLING,2763586177,HOUSE
19/08/2019,OTC IRS,5603359260,CLIENT
19/08/2019,OTC IRS,4120298603,HOUSE
19/08/2019,PRECIOUS METALS DERIVATIVES,9200364,CLIENT
19/08/2019,PRECIOUS METALS DERIVATIVES,23656484,HOUSE
19/08/2019,SUPPLEMENTARY MARGINS,1793195254,CLIENT
19/08/2019,SUPPLEMENTARY MARGINS,1004814443,HOUSE
20/08/2019,ASIA COOPERATION PRODUCTS,1766486,CLIENT
20/08/2019,"CASH, REPO, SECLEND BOND",25218644,CLIENT
20/08/2019,"CASH, REPO, SECLEND BOND",1272219292,HOUSE
20/08/2019,"CASH, REPO, SECLEND EQUITY",595402711,CLIENT
20/08/2019,"CASH, REPO, SECLEND EQUITY",453173208,HOUSE
20/08/2019,COMMODITY DERIVATIVES,2056681,CLIENT
20/08/2019,COMMODITY DERIVATIVES,1663522,HOUSE
20/08/2019,CORPORATE BOND LIQUIDATION GROUP,37209,CLIENT
20/08/2019,EQUITY DERIVATIVES,11757226106,CLIENT
20/08/2019,EQUITY DERIVATIVES,6335156874,HOUSE
20/08/2019,FIXED INCOME DERIVATIVES,8107257702,CLIENT
20/08/2019,FIXED INCOME DERIVATIVES,619965361,HOUSE
20/08/2019,FIXED INCOME DERIVATIVES ETF,13372784,CLIENT
20/08/2019,FIXED INCOME DERIVATIVES ETF,1022829,HOUSE
20/08/2019,FX DERIVATIVES,1490713,CLIENT
20/08/2019,GC POOLING,421596355,CLIENT
