FACT_DATE,VOLUME,N_CALLS,TYPE
14/05/2020,485346553,8,Change of Positions
14/05/2020,443973313.6,4,Market Movement
15/05/2020,251270235.2,9,Change of Positions
15/05/2020,67731006.43,3,Market Movement
18/05/2020,303158788.8,9,Change of Positions
18/05/2020,3300534315,35,Market Movement
19/05/2020,260070776.3,7,Change of Positions
19/05/2020,168500000,5,Market Movement
20/05/2020,178287461.2,6,Change of Positions
20/05/2020,10647350.33,1,Market Movement
21/05/2020,60181818.18,4,Change of Positions
22/05/2020,173940205.4,4,Change of Positions
22/05/2020,17500000,1,Market Movement
25/05/2020,96626781.16,3,Change of Positions
25/05/2020,171500000,4,Market Movement
26/05/2020,106500000,5,Change of Positions
26/05/2020,449629090.9,11,Market Movement
27/05/2020,637786780.1,16,Change of Positions
27/05/2020,369557365.1,9,Market Movement
28/05/2020,348446986.2,9,Change of Positions
28/05/2020,314168482.2,6,Market Movement
29/05/2020,199471264.4,7,Change of Positions
29/05/2020,84908764.37,3,Market Movement
01/06/2020,88000000,3,Change of Positions
01/06/2020,463858762.1,11,Market Movement
02/06/2020,385074190.1,12,Change of Positions
02/06/2020,246239216,11,Market Movement
03/06/2020,1325234769,23,Change of Positions
03/06/2020,1477695669,28,Market Movement
04/06/2020,522055555.6,10,Change of Positions
04/06/2020,143833333.3,4,Market Movement
05/06/2020,449172109.4,12,Change of Positions
05/06/2020,1155682497,20,Market Movement
08/06/2020,388738812.6,11,Change of Positions
08/06/2020,109801506.4,5,Market Movement
09/06/2020,178683401.9,6,Change of Positions
09/06/2020,29713556.17,2,Market Movement
10/06/2020,531923076.9,8,Change of Positions
10/06/2020,95879120.88,2,Market Movement
11/06/2020,334018857.9,14,Change of Positions
11/06/2020,1576312997,26,Market Movement
12/06/2020,437002477,12,Change of Positions
12/06/2020,103000000,2,Market Movement
15/06/2020,1279491514,15,Change of Positions
15/06/2020,380410431.7,4,Market Movement
16/06/2020,904850356.5,18,Change of Positions
16/06/2020,1971315116,20,Market Movement
17/06/2020,417374643.9,12,Change of Positions
17/06/2020,96500000,2,Market Movement
18/06/2020,651648814.8,13,Change of Positions
18/06/2020,26485474.96,2,Market Movement
19/06/2020,418375375.4,8,Change of Positions
19/06/2020,546000000,3,Market Movement
22/06/2020,309355078.9,9,Change of Positions
22/06/2020,30000000,2,Market Movement
23/06/2020,440545149.3,10,Change of Positions
23/06/2020,784569087.6,9,Market Movement
24/06/2020,298347408.3,9,Change of Positions
24/06/2020,379502752.8,7,Market Movement
25/06/2020,655821428.6,19,Change of Positions
25/06/2020,67000000,3,Market Movement
26/06/2020,228220503,8,Change of Positions
26/06/2020,109926246.3,5,Market Movement
29/06/2020,230481744.1,8,Change of Positions
29/06/2020,543429634.9,4,Market Movement
30/06/2020,308984461.5,7,Change of Positions
30/06/2020,30520807.29,2,Market Movement
01/07/2020,434089285.7,4,Change of Positions
01/07/2020,410392556.9,13,Market Movement
02/07/2020,297431773.9,10,Change of Positions
02/07/2020,1260026220,19,Market Movement
03/07/2020,85027797.58,3,Change of Positions
06/07/2020,90013813.19,3,Change of Positions
06/07/2020,1455604304,12,Market Movement
07/07/2020,34000000,2,Change of Positions
08/07/2020,74675613,4,Change of Positions
08/07/2020,57500000,3,Market Movement
09/07/2020,123450361.5,2,Change of Positions
10/07/2020,183514189.4,9,Change of Positions
10/07/2020,66794117.65,3,Market Movement
13/07/2020,130455688.9,7,Change of Positions
13/07/2020,874199696.3,15,Market Movement
14/07/2020,45527472.53,3,Change of Positions
14/07/2020,323120879.1,7,Market Movement
15/07/2020,218943900.7,5,Change of Positions
15/07/2020,1278976407,17,Market Movement
16/07/2020,140625109.5,6,Change of Positions
16/07/2020,12000000,1,Market Movement
17/07/2020,438948547.4,6,Change of Positions
17/07/2020,16500000,1,Market Movement
20/07/2020,159211390.6,6,Change of Positions
20/07/2020,11000000,1,Market Movement
21/07/2020,147000000,5,Change of Positions
21/07/2020,682500000,7,Market Movement
22/07/2020,72934185.52,5,Change of Positions
22/07/2020,22126564.67,2,Market Movement
23/07/2020,130439536.7,5,Change of Positions
23/07/2020,38500000,2,Market Movement
24/07/2020,37000000,2,Change of Positions
24/07/2020,132991313.1,7,Market Movement
27/07/2020,348482993.2,8,Change of Positions
27/07/2020,42129251.7,3,Market Movement
28/07/2020,46896901.94,4,Change of Positions
28/07/2020,18000000,1,Market Movement
29/07/2020,150551537.1,5,Change of Positions
29/07/2020,24113599.1,2,Market Movement
30/07/2020,95539555.48,5,Change of Positions
30/07/2020,915796389.3,21,Market Movement
31/07/2020,286780891.3,6,Change of Positions
31/07/2020,69341547.14,4,Market Movement
03/08/2020,140500000,8,Change of Positions
03/08/2020,754762152.5,16,Market Movement
04/08/2020,132047173.8,4,Change of Positions
04/08/2020,14449638.76,1,Market Movement
05/08/2020,119437911.3,5,Change of Positions
05/08/2020,219260344.3,10,Market Movement
06/08/2020,227396310.1,6,Change of Positions
06/08/2020,15500000,1,Market Movement
07/08/2020,83273208.09,3,Change of Positions
10/08/2020,171858752,4,Change of Positions
11/08/2020,188920157.2,5,Change of Positions
11/08/2020,1464721490,28,Market Movement
12/08/2020,150409778.3,4,Change of Positions
12/08/2020,740657142.6,11,Market Movement
13/08/2020,11000000,1,Change of Positions
13/08/2020,176718935.8,6,Market Movement
14/08/2020,402000000,4,Market Movement
17/08/2020,190247194.8,2,Change of Positions
17/08/2020,13076858.18,1,Market Movement
18/08/2020,23097597.85,1,Change of Positions
19/08/2020,60341238.58,2,Change of Positions
19/08/2020,24721360.93,2,Market Movement
20/08/2020,86487341.77,5,Change of Positions
20/08/2020,84500000,2,Market Movement
21/08/2020,362021879.5,6,Change of Positions
24/08/2020,188565459.6,7,Change of Positions
24/08/2020,901715227.1,16,Market Movement
25/08/2020,121196800.4,5,Change of Positions
25/08/2020,582457694.7,19,Market Movement
26/08/2020,189363771.3,9,Change of Positions
26/08/2020,131500000,2,Market Movement
27/08/2020,55903777.74,2,Change of Positions
27/08/2020,261281890.6,8,Market Movement
28/08/2020,116210076.2,4,Change of Positions
28/08/2020,39500000,2,Market Movement
31/08/2020,109188442.2,5,Change of Positions
31/08/2020,81500000,4,Market Movement
01/09/2020,224120839.2,6,Change of Positions
01/09/2020,104096437.8,4,Market Movement
02/09/2020,345162465.2,11,Change of Positions
02/09/2020,997258985.4,20,Market Movement
03/09/2020,239486963.5,7,Change of Positions
03/09/2020,775034862.1,12,Market Movement
04/09/2020,112822327.3,5,Change of Positions
04/09/2020,72164589.68,2,Market Movement
07/09/2020,105166296.6,3,Change of Positions
07/09/2020,628380423.7,10,Market Movement
08/09/2020,278000000,5,Change of Positions
08/09/2020,100000000,4,Market Movement
09/09/2020,400877388.9,7,Change of Positions
