Description,Volume,N.Calls,Typpe
2019-12-05T00:00:00Z,55816657.65,3,Market Movement
2019-12-06T00:00:00Z,43520822.07,3,Change of Positions
2019-12-06T00:00:00Z,291820954.9,6,Market Movement
2019-12-09T00:00:00Z,37500000,1,Market Movement
2019-12-10T00:00:00Z,206965017.6,7,Change of Positions
2019-12-10T00:00:00Z,174000000,7,Market Movement
2019-12-11T00:00:00Z,160830699.8,6,Change of Positions
2019-12-11T00:00:00Z,121786681.7,4,Market Movement
2019-12-12T00:00:00Z,246000000,5,Change of Positions
2019-12-12T00:00:00Z,212397249.4,10,Market Movement
2019-12-13T00:00:00Z,682291748.7,13,Change of Positions
2019-12-13T00:00:00Z,674350749.3,11,Market Movement
2019-12-16T00:00:00Z,677572492.4,7,Change of Positions
2019-12-16T00:00:00Z,390252108.4,6,Market Movement
2019-12-17T00:00:00Z,188126142.3,10,Change of Positions
2019-12-17T00:00:00Z,85000000,4,Market Movement
2019-12-18T00:00:00Z,393794646.9,6,Change of Positions
2019-12-18T00:00:00Z,63427800.27,3,Market Movement
2019-12-19T00:00:00Z,394431051.5,11,Change of Positions
2019-12-19T00:00:00Z,48000000,3,Market Movement
2019-12-20T00:00:00Z,490319455.7,8,Change of Positions
2019-12-23T00:00:00Z,108000000,2,Change of Positions
2019-12-23T00:00:00Z,79189616.25,2,Market Movement
2019-12-24T00:00:00Z,34500000,1,Change of Positions
2019-12-30T00:00:00Z,397515995.3,20,Market Movement
2020-01-02T00:00:00Z,579704458.1,8,Change of Positions
2020-01-02T00:00:00Z,1041783525,18,Market Movement
2020-01-03T00:00:00Z,89713779.49,7,Change of Positions
2020-01-03T00:00:00Z,504214022.1,13,Market Movement
2020-01-06T00:00:00Z,114560032.2,6,Change of Positions
2020-01-06T00:00:00Z,235285714.3,8,Market Movement
2020-01-07T00:00:00Z,257793591.1,13,Change of Positions
2020-01-07T00:00:00Z,147000000,4,Market Movement
2020-01-08T00:00:00Z,233897885.7,7,Change of Positions
2020-01-08T00:00:00Z,81500000,3,Market Movement
2020-01-09T00:00:00Z,96202070.21,5,Change of Positions
2020-01-09T00:00:00Z,271526152.1,8,Market Movement
2020-01-10T00:00:00Z,134737084.1,5,Change of Positions
2020-01-13T00:00:00Z,72668703.94,3,Change of Positions
2020-01-13T00:00:00Z,209096440.8,7,Market Movement
2020-01-14T00:00:00Z,179436844.1,7,Change of Positions
2020-01-14T00:00:00Z,38500000,1,Market Movement
2020-01-15T00:00:00Z,127351642.4,5,Change of Positions
2020-01-15T00:00:00Z,156417050.4,6,Market Movement
2020-01-16T00:00:00Z,304461232,5,Change of Positions
2020-01-17T00:00:00Z,171104789.3,8,Change of Positions
2020-01-17T00:00:00Z,87978651.52,5,Market Movement
2020-01-20T00:00:00Z,68500000,5,Change of Positions
2020-01-21T00:00:00Z,61746063.88,4,Change of Positions
2020-01-21T00:00:00Z,253239541.2,6,Market Movement
2020-01-22T00:00:00Z,112000000,2,Change of Positions
2020-01-22T00:00:00Z,31000000,2,Market Movement
2020-01-23T00:00:00Z,130000000,4,Change of Positions
2020-01-23T00:00:00Z,276474168.2,9,Market Movement
2020-01-24T00:00:00Z,229342093.3,11,Change of Positions
2020-01-24T00:00:00Z,888500000,11,Market Movement
2020-01-27T00:00:00Z,131101717.8,8,Change of Positions
2020-01-27T00:00:00Z,1648082411,35,Market Movement
2020-01-28T00:00:00Z,76221490.23,5,Change of Positions
2020-01-28T00:00:00Z,383516848.3,13,Market Movement
2020-01-29T00:00:00Z,67000000,2,Change of Positions
2020-01-29T00:00:00Z,69500000,2,Market Movement
2020-01-30T00:00:00Z,200593707.5,4,Change of Positions
2020-01-30T00:00:00Z,307000000,8,Market Movement
2020-01-31T00:00:00Z,221630112.2,6,Change of Positions
2020-01-31T00:00:00Z,138292616.7,4,Market Movement
2020-02-03T00:00:00Z,72628411.35,5,Change of Positions
2020-02-03T00:00:00Z,16000000,1,Market Movement
2020-02-04T00:00:00Z,85745112.24,5,Change of Positions
2020-02-04T00:00:00Z,857836712.5,15,Market Movement
2020-02-05T00:00:00Z,54777329.22,3,Change of Positions
2020-02-05T00:00:00Z,1154725658,27,Market Movement
2020-02-06T00:00:00Z,50500000,3,Change of Positions
2020-02-06T00:00:00Z,151406116.5,4,Market Movement
2020-02-07T00:00:00Z,55500000,3,Change of Positions
2020-02-07T00:00:00Z,134000000,4,Market Movement
2020-02-10T00:00:00Z,25500000,2,Change of Positions
2020-02-11T00:00:00Z,65049490.87,5,Change of Positions
2020-02-11T00:00:00Z,516812177.7,8,Market Movement
2020-02-12T00:00:00Z,204000000,9,Change of Positions
2020-02-12T00:00:00Z,189821229.5,7,Market Movement
2020-02-13T00:00:00Z,241500000,7,Change of Positions
2020-02-13T00:00:00Z,371422931.8,6,Market Movement
2020-02-14T00:00:00Z,92000000,3,Change of Positions
2020-02-17T00:00:00Z,31000000,2,Change of Positions
2020-02-17T00:00:00Z,13000000,1,Market Movement
2020-02-18T00:00:00Z,81151627.22,4,Change of Positions
2020-02-18T00:00:00Z,118000000,2,Market Movement
2020-02-19T00:00:00Z,123185185.2,8,Change of Positions
2020-02-19T00:00:00Z,115925925.9,5,Market Movement
2020-02-20T00:00:00Z,175786376.3,5,Change of Positions
2020-02-20T00:00:00Z,115500000,3,Market Movement
2020-02-21T00:00:00Z,657455372.7,14,Change of Positions
2020-02-21T00:00:00Z,452458892.7,8,Market Movement
2020-02-24T00:00:00Z,625611965.7,21,Change of Positions
2020-02-24T00:00:00Z,1658748276,23,Market Movement
2020-02-25T00:00:00Z,517699262,16,Change of Positions
2020-02-25T00:00:00Z,374387453.9,7,Market Movement
2020-02-26T00:00:00Z,333178160.9,11,Change of Positions
2020-02-26T00:00:00Z,804644778.9,17,Market Movement
2020-02-27T00:00:00Z,697645860.9,21,Change of Positions
2020-02-27T00:00:00Z,1806361547,33,Market Movement
2020-02-28T00:00:00Z,378337751.7,13,Change of Positions
2020-02-28T00:00:00Z,3210502617,38,Market Movement
2020-03-02T00:00:00Z,572536324.4,13,Change of Positions
2020-03-02T00:00:00Z,1014253665,21,Market Movement
2020-03-03T00:00:00Z,289548683.2,12,Change of Positions
2020-03-03T00:00:00Z,946150958.5,25,Market Movement
2020-03-04T00:00:00Z,269363302.8,13,Change of Positions
2020-03-04T00:00:00Z,355484053.1,11,Market Movement
2020-03-05T00:00:00Z,500399105.9,12,Change of Positions
2020-03-05T00:00:00Z,598601680.5,11,Market Movement
2020-03-06T00:00:00Z,490534580.1,13,Change of Positions
2020-03-06T00:00:00Z,2377500000,37,Market Movement
2020-03-09T00:00:00Z,674802374.3,13,Change of Positions
2020-03-09T00:00:00Z,6766767031,72,Market Movement
2020-03-10T00:00:00Z,779313871.8,15,Change of Positions
