FACT_DATE,TYPE,DEBIT_EUR,TYP
20/07/2021,VAR MARGIN PAID,1781189869,EOD
20/07/2021,MARGIN CALL,417774947,ID
19/07/2021,MARGIN CALL,754248342,EOD
19/07/2021,VAR MARGIN PAID,4603814728,EOD
19/07/2021,MARGIN CALL,1233550739,ID
16/07/2021,MARGIN CALL,449600114,EOD
16/07/2021,MARGIN CALL,96911879,ID
16/07/2021,VAR MARGIN PAID,1559067508,EOD
15/07/2021,MARGIN CALL,106359641,ID
15/07/2021,MARGIN CALL,452512918,EOD
15/07/2021,VAR MARGIN PAID,1604510855,EOD
14/07/2021,VAR MARGIN PAID,946422314,EOD
14/07/2021,MARGIN CALL,238678301,EOD
14/07/2021,MARGIN CALL,246013990,ID
13/07/2021,MARGIN CALL,368695483,EOD
13/07/2021,MARGIN CALL,118000000,ID
13/07/2021,VAR MARGIN PAID,676035050,EOD
12/07/2021,MARGIN CALL,265857914,ID
12/07/2021,MARGIN CALL,1620396627,EOD
12/07/2021,VAR MARGIN PAID,974842386,EOD
09/07/2021,MARGIN CALL,581808041,ID
09/07/2021,MARGIN CALL,522874149,EOD
09/07/2021,VAR MARGIN PAID,3223918091,EOD
08/07/2021,VAR MARGIN PAID,3289726295,EOD
08/07/2021,MARGIN CALL,492856680,EOD
08/07/2021,MARGIN CALL,1086369876,ID
07/07/2021,MARGIN CALL,496796491,EOD
07/07/2021,MARGIN CALL,485553461,ID
07/07/2021,VAR MARGIN PAID,2388020049,EOD
06/07/2021,MARGIN CALL,553531570,EOD
06/07/2021,VAR MARGIN PAID,3335687805,EOD
06/07/2021,MARGIN CALL,697321338,ID
05/07/2021,MARGIN CALL,381113480,EOD
05/07/2021,MARGIN CALL,196542061,ID
05/07/2021,VAR MARGIN PAID,1417404803,EOD
02/07/2021,VAR MARGIN PAID,1963551659,EOD
02/07/2021,MARGIN CALL,364194748,ID
02/07/2021,MARGIN CALL,535173835,EOD
01/07/2021,VAR MARGIN PAID,1102323037,EOD
01/07/2021,MARGIN CALL,443939414,ID
01/07/2021,MARGIN CALL,545470179,EOD
30/06/2021,MARGIN CALL,330305419,EOD
30/06/2021,VAR MARGIN PAID,2310726943,EOD
30/06/2021,MARGIN CALL,663732918,ID
29/06/2021,MARGIN CALL,144014805,ID
29/06/2021,VAR MARGIN PAID,1234261970,EOD
29/06/2021,MARGIN CALL,549939846,EOD
28/06/2021,MARGIN CALL,152467674,ID
28/06/2021,VAR MARGIN PAID,1646233664,EOD
28/06/2021,MARGIN CALL,548361247,EOD
25/06/2021,VAR MARGIN PAID,1941729191,EOD
25/06/2021,MARGIN CALL,234278775,ID
25/06/2021,MARGIN CALL,187512484,EOD
24/06/2021,VAR MARGIN PAID,1441894200,EOD
24/06/2021,MARGIN CALL,370735488,ID
24/06/2021,MARGIN CALL,803708308,EOD
23/06/2021,MARGIN CALL,240354026,EOD
23/06/2021,VAR MARGIN PAID,1577206575,EOD
23/06/2021,MARGIN CALL,267214501,ID
22/06/2021,MARGIN CALL,214982596,EOD
22/06/2021,VAR MARGIN PAID,1049880392,EOD
22/06/2021,MARGIN CALL,170134564,ID
21/06/2021,MARGIN CALL,870149253,ID
21/06/2021,MARGIN CALL,1321464296,EOD
21/06/2021,VAR MARGIN PAID,2250046915,EOD
18/06/2021,MARGIN CALL,3175152629,EOD
18/06/2021,MARGIN CALL,968153219,ID
18/06/2021,VAR MARGIN PAID,3376175180,EOD
17/06/2021,MARGIN CALL,845892831,EOD
17/06/2021,MARGIN CALL,500058696,ID
17/06/2021,VAR MARGIN PAID,963573681,EOD
16/06/2021,MARGIN CALL,159644837,ID
16/06/2021,VAR MARGIN PAID,809469095,EOD
16/06/2021,MARGIN CALL,733651286,EOD
15/06/2021,VAR MARGIN PAID,1346531315,EOD
15/06/2021,MARGIN CALL,346363561,ID
15/06/2021,MARGIN CALL,339712387,EOD
